"","State","County","Tract","Median_Income_past_12months_Total","Race_Wht","Race_Blk","Race_Lat","Race_Asn","Race_Am_Indn","Race_Isl","Race_Other","Race_Two","Lat_Orgn","NonLat_Orgn","Income_Wht","Income_Blk","Income_NonLat","Income_Lat","Income_Natv","Income_Asn","Income_Isl","Income_Other","Income_TwoRaces","Income_Under10k","Income_10k","Income_20k","Income_30k","Income_40k","Income_50k","Income_60k","Income_70k","Income_80k","Income_90k","Income_100_199k","Income_200_249k","Income_250_499k","Income_500k_up","Income_Imputed","Vacancy_Status","Occupation_16_up","Educational_Attainment_25yrs_up","Employment_Status","Poverty_Status_Past12","Food_Stamps","Total_Housing_Units","Gini_Income_Ineq"
"783","25","025","081800",17468,235,2705,3590,0,0,0,552,98,3590,2553,44,1040,27,362,0,0,0,247,48,0,0,0,0,0,0,0,0,0,0,0,8,12,12,1013,140,198,268,199,48,56,1519,0.5195
"784","25","025","081900",17287,412,2515,3515,18,0,0,360,210,3515,2521,142,1104,7,347,0,18,0,112,37,0,0,0,0,0,0,0,0,0,0,41,19,8,8,809,108,286,75,311,20,29,1521,0.5411
"785","25","025","082000",NA,386,2152,2725,25,0,0,129,33,2725,2182,144,920,17,218,0,9,0,67,20,0,0,0,0,0,0,0,0,0,0,0,27,45,45,723,221,308,262,322,37,71,1381,0.5439
"786","25","025","082100",NA,441,3378,5243,95,0,0,1127,202,5243,3587,191,1345,65,701,0,22,0,482,90,0,0,0,0,0,0,0,0,0,0,0,11,18,18,936,119,166,225,269,46,124,2249,0.5955
"787","25","025","090100",18927,374,3493,4812,42,0,0,767,136,4812,3772,143,1331,66,361,0,12,0,226,95,0,0,0,0,0,0,0,0,0,0,0,0,49,49,1208,215,378,603,517,194,70,2022,0.5031
"788","25","025","090200",16689,199,1119,2383,110,0,27,784,144,2383,1491,80,410,6,299,0,38,27,223,36,0,0,0,0,0,0,0,0,0,0,0,0,7,7,379,74,66,142,53,70,33,888,0.4764
"789","25","025","090300",NA,293,2381,3631,0,165,0,679,113,3631,2587,112,834,31,327,26,0,0,240,52,0,0,0,0,0,0,0,0,0,0,0,0,26,26,728,111,219,134,133,132,40,1375,0.5307
"790","25","025","090400",17492,480,2484,3965,105,0,0,769,127,3965,2654,145,826,40,395,0,24,0,200,29,0,0,0,0,0,0,0,0,0,0,0,7,46,46,859,118,208,92,176,162,12,1342,0.4621
"791","25","025","090600",21375,266,1457,2337,9,20,0,474,111,2337,1834,99,459,55,163,6,4,0,142,27,0,0,0,0,0,0,0,0,0,0,13,7,41,41,432,88,153,124,106,81,16,825,0.455
"792","25","025","090700",30650,2429,483,4613,815,31,0,777,78,4613,3882,1096,182,1049,204,31,275,0,204,34,0,0,0,0,0,0,0,0,0,18,19,0,182,182,1098,218,465,362,301,21,103,2040,0.4672
"793","25","025","090901",21237,1312,525,3832,1201,58,0,716,20,3832,2892,527,206,465,294,17,458,0,215,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,140,140,30,133,46,14,1577,0.5709
"794","25","025","091001",32381,1834,477,3217,818,0,0,44,44,3217,3138,921,162,904,41,0,238,0,24,15,0,0,0,0,0,0,0,0,0,0,14,30,166,166,521,38,93,216,82,82,17,1398,0.4665
"795","25","025","091100",35317,2996,245,5477,1506,0,0,498,232,5477,5089,1094,88,1094,160,0,366,0,186,81,0,0,0,0,0,0,0,0,0,0,0,21,340,340,1435,168,501,620,509,79,32,1983,0.4439
"796","25","025","091200",NA,1254,853,3241,43,74,0,703,314,3241,2486,560,311,534,211,27,6,0,222,49,0,0,0,0,0,0,0,0,0,0,0,30,215,215,699,146,119,216,141,46,64,1321,0.4489
"797","25","025","091300",NA,602,1060,2596,24,0,0,807,103,2596,1840,178,361,97,221,0,11,0,216,45,0,0,0,0,0,0,0,0,0,0,23,11,16,16,705,109,112,249,115,94,31,920,0.4754
"798","25","025","091400",17447,386,1297,2721,27,18,0,926,67,2721,1828,118,468,93,275,8,6,0,304,10,0,0,0,0,0,0,0,0,0,0,20,10,35,35,591,83,127,149,164,65,35,997,0.4377
"799","25","025","091500",23671,583,1916,4801,251,12,0,1746,293,4801,3908,274,674,243,330,4,77,0,491,123,11,0,0,0,0,0,0,0,0,16,51,0,79,79,1523,152,363,455,545,117,129,1795,0.4315
"800","25","025","091600",NA,534,1576,3382,795,0,0,399,78,3382,2939,187,573,171,100,0,186,0,114,19,0,0,0,0,0,0,0,0,0,0,39,0,33,33,776,127,167,191,169,66,8,1206,0.4635
"801","25","025","091700",22025,367,1957,3304,201,5,0,734,40,3304,2503,146,585,75,234,0,47,0,219,12,0,0,0,0,0,0,0,0,0,0,6,4,53,53,993,107,350,396,331,49,46,1116,0.5207
"802","25","025","091800",NA,422,2219,3811,3,0,0,1002,165,3811,3262,146,575,40,214,0,0,0,301,73,0,0,0,0,0,0,0,0,0,0,0,21,22,22,1084,163,414,475,442,55,41,1258,0.485
"803","25","025","091900",22481,352,2953,4016,43,9,0,614,45,4016,3083,121,949,88,363,0,5,0,203,29,0,0,0,0,0,0,0,0,0,0,0,17,120,120,1411,140,296,471,506,162,37,1447,0.5254
"804","25","025","092000",21556,665,3489,5567,475,16,0,763,159,5567,3932,260,930,142,426,16,113,0,232,31,0,0,0,13,0,0,0,0,0,0,6,10,63,63,1248,190,269,388,365,156,26,1772,0.4555
